date	close
1-Jan-00	9
1-Feb-00	61
1-Mar-00	7
1-Apr-00	18
1-May-00	58
1-Jun-00	30
1-Jul-00	22
1-Aug-00	20
1-Sep-00	16
1-Oct-00	2
1-Nov-00	12
1-Dec-00	14
1-Jan-01	101
1-Feb-01	50
1-Mar-01	47
1-Apr-01	157
1-May-01	3
1-Jun-01	1
1-Jul-01	5
1-Sep-01	3
1-Oct-01	6
1-Nov-01	6
1-Dec-01	47
1-Jan-02	492
1-Feb-02	275
1-Mar-02	444
1-Apr-02	545
1-May-02	469
1-May-02	1
1-Jun-02	517
1-Jul-02	912
1-Aug-02	1004
1-Sep-02	762
1-Oct-02	649
1-Nov-02	3729
1-Dec-02	528
1-Jan-03	604
1-Feb-03	546
1-Mar-03	401
1-Apr-03	500
1-May-03	472
1-Jun-03	549
1-Jul-03	268
1-Aug-03	435
1-Sep-03	829
1-Oct-03	406
1-Nov-03	561
1-Dec-03	312
1-Jan-04	719
1-Feb-04	378
1-Mar-04	336
1-Apr-04	446
1-May-04	486
1-Jun-04	790
1-Jul-04	1118
1-Aug-04	692
1-Sep-04	1046
1-Oct-04	1130
1-Nov-04	785
1-Dec-04	680
1-Jan-05	681
1-Feb-05	875
1-Mar-05	755
1-Apr-05	1020
1-May-05	808
1-Jun-05	552
1-Jul-05	476
1-Aug-05	1496
1-Sep-05	1230
1-Oct-05	1056
1-Nov-05	1095
1-Dec-05	1084
1-Jan-06	1088
1-Feb-06	1246
1-Mar-06	1723
1-Apr-06	477
1-May-06	371
1-Jun-06	732
1-Jul-06	423
1-Aug-06	606
1-Sep-06	539
1-Oct-06	348
1-Nov-06	450
1-Dec-06	467
1-Jan-07	864
1-Jan-07	1
1-Feb-07	592
1-Mar-07	586
1-Mar-07	2
1-Apr-07	443
1-May-07	638
1-May-07	1
1-Jun-07	458
1-Jul-07	389
1-Jul-07	1
1-Aug-07	580
1-Sep-07	873
1-Sep-07	2
1-Oct-07	669
1-Nov-07	532
1-Dec-07	446
1-Jan-08	672
1-Feb-08	337
1-Mar-08	480
1-Mar-08	1
1-Apr-08	581
1-May-08	456
1-Jun-08	348
1-Jul-08	886
1-Jul-08	1
1-Aug-08	345
1-Sep-08	645
1-Oct-08	534
1-Nov-08	606
1-Dec-08	477
1-Jan-09	339
1-Feb-09	555
1-Mar-09	382
1-Apr-09	281
1-May-09	302
1-Jun-09	404
1-Jul-09	419
1-Aug-09	311
1-Sep-09	521
1-Oct-09	321
1-Oct-09	1
1-Nov-09	276
1-Dec-09	109
1-Mar-10	13
